Text,URL
New York City,"https://en.wikipedia.org/wiki/New_York_City"
Los Angelas,"https://en.wikipedia.org/wiki/Los_Angeles"
Chicago,"https://en.wikipedia.org/wiki/Chicago"
Houston,"https://en.wikipedia.org/wiki/Houston"
Phoenix,"https://en.wikipedia.org/wiki/Phoenix,_Arizona"
Philadelphia,"https://en.wikipedia.org/wiki/Philadelphia"
San Antonio,"https://en.wikipedia.org/wiki/San_Antonio"
San Diego,"https://en.wikipedia.org/wiki/San_Diego"
Dallas,"https://en.wikipedia.org/wiki/Dallas"
San Jose,"https://en.wikipedia.org/wiki/San_Jose,_California"
Austin,"https://en.wikipedia.org/wiki/Austin,_Texas"
Jacksonville,"https://en.wikipedia.org/wiki/Jacksonville,_Florida"
Fort Worth,"https://en.wikipedia.org/wiki/Fort_Worth,_Texas"
Columbus,"https://en.wikipedia.org/wiki/Columbus,_Ohio"
Charlotte,"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina"
San Francisco,"https://en.wikipedia.org/wiki/San_Francisco"
Indianapolis,"https://en.wikipedia.org/wiki/Indianapolis"
Seattle,"https://en.wikipedia.org/wiki/Seattle"
Denver,"https://en.wikipedia.org/wiki/Denver"
Washington,"https://en.wikipedia.org/wiki/Washington,_D.C."
Boston,"https://en.wikipedia.org/wiki/Boston"
El Paso,"https://en.wikipedia.org/wiki/El_Paso,_Texas"
Nashville,"https://en.wikipedia.org/wiki/Nashville,_Tennessee"
Detroit,"https://en.wikipedia.org/wiki/Detroit"
Oklahoma City,"https://en.wikipedia.org/wiki/Oklahoma_City"
Atlanta,"https://en.wikipedia.org/wiki/Atlanta"
